                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0691,                 5.3226,                 4.0996,                      0,                      0,                      0,                      0,                 3.0784,                  5.267,                 4.1435,                      0,                      0,                      0
                      2,                 3.1189,                 5.4784,                  4.046,                      0,                      0,                      0,                      0,                 3.0208,                 5.2536,                 4.1174,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 3.1273,                 5.9413,                 3.7856,                      0,                      0,                      0,                      0,                 2.9834,                 5.2522,                 4.0858,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 3.1948,                 5.6096,                 3.8583,                      0,                      0,                      0,                      0,                 3.0556,                 5.2865,                 4.0827,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 2.9246,                 5.6459,                 3.8449,                      0,                      0,                      0,                      0,                 3.0749,                 5.2931,                 4.0898,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 3.4684,                 5.6646,                 3.9845,                      0,                      0,                      0,                      0,                 3.1172,                 5.3176,                 4.1012,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                  2.839,                 5.6359,                 4.0113,                      0,                      0,                      0,                      0,                 3.1416,                 5.3139,                 4.1107,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 3.2128,                  5.667,                 4.0745,                      0,                      0,                      0,                      0,                 3.1683,                 5.3319,                 4.1242,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 3.2152,                 5.5735,                 4.0267,                      0,                      0,                      0,                      0,                 3.1868,                 5.3332,                 4.1489,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 2.9712,                 5.6716,                  3.831,                      0,                      0,                      0,                      0,                 3.2017,                 5.3305,                 4.1552,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 2.7183,                 5.5937,                 4.0473,                      0,                      0,                      0,                      0,                  3.218,                 5.3309,                 4.1568,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 2.7236,                 5.4962,                 3.8567,                      0,                      0,                      0,                      0,                 3.2526,                 5.3275,                 4.1684,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 3.2176,                 5.6121,                 3.9863,                      0,                      0,                      0,                      0,                 3.2645,                 5.3191,                 4.1706,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 3.0376,                 5.4777,                 4.0321,                      0,                      0,                      0,                      0,                 3.2723,                 5.3119,                 4.1733,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 3.1198,                 5.5973,                 3.9672,                      0,                      0,                      0,                      0,                 3.3212,                 5.3357,                 4.2095,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 3.3384,                 5.6502,                 4.0417,                      0,                      0,                      0,                      0,                 3.3464,                 5.3498,                  4.211,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 3.1042,                  5.511,                 4.0476,                      0,                      0,                      0,                      0,                 3.3596,                 5.3572,                 4.2268,             1.6024e-05,             1.6024e-05,             1.6024e-05
